iter	Passed	Remaining
641	822	458
642	823	457
643	824	455
644	825	454
645	826	452
646	827	451
647	828	449
648	829	448
649	830	447
650	831	445
651	832	444
652	833	442
653	833	441
654	834	439
655	835	438
656	836	436
657	838	435
658	839	434
659	840	432
660	841	431
661	842	430
662	844	429
663	845	427
664	846	426
665	847	424
666	848	423
667	849	422
668	850	420
669	851	419
670	853	418
671	854	416
672	855	415
673	857	414
674	857	413
675	859	411
676	859	410
677	860	408
678	861	407
679	862	405
680	863	404
681	864	402
682	865	401
683	865	400
684	866	398
685	868	397
686	869	396
687	871	395
688	872	393
689	873	392
690	874	390
691	875	389
692	876	388
693	877	386
694	878	385
695	878	383
696	879	382
697	880	381
698	881	379
699	882	378
700	884	377
701	885	375
702	886	374
703	887	373
704	888	371
705	889	370
706	890	368
707	891	367
708	892	366
709	893	364
710	894	363
711	895	362
712	896	360
713	897	359
714	898	358
715	899	356
716	900	355
717	902	354
718	902	352
719	903	351
720	904	350
721	906	348
722	907	347
723	908	346
724	909	344
725	910	343
726	911	342
727	912	340
728	913	339
729	914	338
730	915	336
731	916	335
732	917	334
733	918	333
734	919	331
735	920	330
736	921	328
737	922	327
738	923	326
739	924	324
740	925	323
741	926	322
742	927	320
743	929	319
744	930	318
745	931	317
746	932	315
747	933	314
748	934	313
749	935	311
750	936	310
751	936	308
752	937	307
753	938	306
754	939	304
755	940	303
756	941	302
757	943	301
758	944	299
759	945	298
760	946	297
761	947	295
762	948	294
763	949	293
764	950	291
765	951	290
766	952	289
767	953	288
768	954	286
769	955	285
770	956	284
771	957	282
772	958	281
773	959	280
774	961	279
775	962	277
776	963	276
777	964	275
778	965	273
779	966	272
780	967	271
781	968	270
782	969	268
783	970	267
784	971	266
785	972	264
786	973	263
787	974	262
788	976	261
789	977	259
790	979	258
791	980	257
792	980	256
793	982	254
794	983	253
795	984	252
796	985	251
797	986	249
798	987	248
799	988	247
800	990	245
801	991	244
802	991	243
803	992	242
804	993	240
805	994	239
806	995	238
807	996	236
808	998	235
809	999	234
810	1000	233
811	1001	231
812	1002	230
813	1003	229
814	1005	228
815	1006	226
816	1007	225
817	1008	224
818	1009	223
819	1010	221
820	1012	220
821	1013	219
822	1014	218
823	1015	216
824	1017	215
825	1018	214
826	1019	213
827	1021	212
828	1022	210
829	1023	209
830	1023	208
831	1025	206
832	1026	205
833	1027	204
834	1028	203
835	1029	202
836	1031	200
837	1032	199
838	1033	198
839	1034	197
840	1036	195
841	1037	194
842	1038	193
843	1040	192
844	1041	191
845	1042	189
846	1043	188
847	1044	187
848	1045	186
849	1047	184
850	1048	183
851	1049	182
852	1050	181
853	1051	179
854	1053	178
855	1054	177
856	1055	176
857	1057	174
858	1058	173
859	1059	172
860	1060	171
861	1061	169
862	1062	168
863	1063	167
864	1064	166
865	1065	164
866	1066	163
867	1067	162
868	1069	161
869	1070	160
870	1072	158
871	1073	157
872	1074	156
873	1075	155
874	1076	153
875	1078	152
876	1079	151
877	1081	150
878	1082	148
879	1083	147
880	1085	146
881	1086	145
882	1087	144
883	1088	142
884	1089	141
885	1090	140
886	1091	139
887	1093	137
888	1094	136
889	1095	135
890	1096	134
891	1098	133
892	1100	131
893	1101	130
894	1102	129
895	1103	128
896	1104	126
897	1105	125
898	1106	124
899	1107	123
900	1108	121
901	1109	120
902	1111	119
903	1112	118
904	1113	116
905	1114	115
906	1116	114
907	1117	113
908	1118	111
909	1119	110
910	1119	109
911	1120	108
912	1121	106
913	1122	105
914	1123	104
915	1124	103
916	1126	101
917	1127	100
918	1128	99
919	1129	98
920	1130	96
921	1131	95
922	1132	94
923	1133	93
924	1134	91
925	1135	90
926	1136	89
927	1137	88
928	1138	87
929	1139	85
930	1141	84
931	1142	83
932	1143	82
933	1144	80
934	1145	79
935	1146	78
936	1147	77
937	1148	75
938	1149	74
939	1150	73
940	1151	72
941	1152	70
942	1153	69
943	1154	68
944	1155	67
945	1156	66
946	1157	64
947	1158	63
948	1159	62
949	1160	61
950	1161	59
951	1162	58
952	1163	57
953	1164	56
954	1165	54
955	1166	53
956	1167	52
957	1168	51
958	1170	50
959	1171	48
960	1172	47
961	1173	46
962	1174	45
963	1175	43
964	1176	42
965	1177	41
966	1178	40
967	1178	38
968	1179	37
969	1181	36
970	1182	35
971	1183	34
972	1184	32
973	1185	31
974	1186	30
975	1187	29
976	1188	27
977	1189	26
978	1190	25
979	1191	24
980	1192	23
981	1193	21
982	1194	20
983	1195	19
984	1196	18
985	1197	17
986	1198	15
987	1199	14
988	1200	13
989	1202	12
990	1203	10
991	1204	9
992	1205	8
993	1206	7
994	1207	6
995	1208	4
996	1209	3
997	1210	2
998	1211	1
999	1212	0
